Telefono,CittadinanzaItaliana,Deceduto,ValoreTitolo,NumeroTitoliAperti,DovutoTitoliAperti,ImportoTitoliAperti,NumeroTitoliSaldati,ImportoTitoliSaldati,NumeroTitoliRecenti,TotaleTitoliRecenti,Eta,Vetusta,TitoliCredito,label,NuovoContribuente,Cap,Estero,RapportoImporto,RapportoDovutoAperti
1,0,0,281.5,5,296.7,296.7,1,163.02,5,281.5,54,2367,5,0,0,31050,0,1.8200220831799778,1.0
1,1,0,53.67,8,745.33,745.33,6,467.89,1,53.67,55,904,1,0,0,30021,0,1.5929598837333563,1.0
1,1,0,198.05,0,0.0,0.0,2,182.62,2,198.05,46,884,2,1,0,31022,0,0.0,0.0
1,1,0,520.1600000000001,10,2139.03,1784.26,5,1459.51,2,520.1600000000001,41,904,2,0,0,31050,0,1.2225061835821611,0.834144448651959
1,0,0,228.26,9,990.28,990.28,0,0.0,1,228.26,48,2023,1,0,0,31100,0,1000.0,1.0
1,1,0,110.3,0,0.0,0.0,0,0.0,1,110.3,35,1801,1,1,1,31022,0,0.0,0.0
1,1,0,104.4,0,0.0,0.0,0,0.0,2,104.4,39,904,2,0,1,31038,0,0.0,0.0
1,1,0,171.70999999999998,9,787.69,787.69,3,382.26,4,294.11,38,884,2,0,0,31030,0,2.0606131952074507,1.0
1,1,0,122.4,9,787.69,787.69,3,382.26,4,294.11,38,904,2,0,0,31030,0,2.0606131952074507,1.0
1,1,0,181.0,0,0.0,0.0,22,2964.74,2,181.0,83,889,2,0,0,31020,0,0.0,0.0
1,1,0,115.15,7,698.07,698.07,0,0.0,1,115.15,58,693,1,0,0,31040,0,1000.0,1.0
1,1,0,88.58,0,0.0,0.0,0,0.0,1,88.58,68,904,1,0,1,31100,0,0.0,0.0
1,1,0,127.47,2,107.57,107.57,4,568.0,2,127.47,42,889,2,1,0,31040,0,0.1893838028169014,1.0
1,0,0,176.57999999999998,3,277.56,277.56,0,0.0,2,176.57999999999998,36,889,2,1,0,31048,0,1000.0,1.0
1,1,0,94.68,0,0.0,0.0,0,0.0,1,94.68,59,707,1,0,1,31030,0,0.0,0.0
1,1,0,307.28999999999996,2,247.33,247.33,0,0.0,2,307.28999999999996,41,884,2,0,0,31032,0,1000.0,1.0
1,1,0,66.6,0,0.0,0.0,1,52.08,1,66.6,72,884,1,1,0,31022,0,0.0,0.0
1,1,0,159.94,1,72.84,72.84,0,0.0,2,159.94,41,1071,2,0,0,31032,0,1000.0,1.0
1,1,0,97.46,0,0.0,0.0,0,0.0,1,97.46,50,707,1,1,1,31032,0,0.0,0.0
0,0,0,144.07999999999998,2,161.6,161.6,0,0.0,2,144.07999999999998,28,889,2,0,0,89069,0,1000.0,1.0
1,1,0,143.51999999999998,7,425.02,366.01,10,575.42,2,143.51999999999998,53,884,2,1,0,31052,0,0.6360745194814222,0.8611594748482424
1,0,0,41.77,0,0.0,0.0,3,268.95,1,41.77,31,611,1,0,0,32030,0,0.0,0.0
0,1,0,419.51,8,919.48,919.48,0,0.0,2,419.51,66,904,2,0,0,31038,0,1000.0,1.0
1,1,0,65.39,11,1279.54,1279.54,0,0.0,1,65.39,56,889,1,0,0,31100,0,1000.0,1.0
1,1,0,115.32,0,0.0,0.0,0,0.0,1,115.32,52,707,1,1,1,31052,0,0.0,0.0
1,0,0,248.21,4,198.15,198.15,3,143.1,4,248.21,55,2179,4,0,0,31032,0,1.3846960167714886,1.0
1,1,0,208.31,3,223.37,140.28,14,813.78,2,208.31,78,889,2,1,0,31056,0,0.17238074172380743,0.6280162958320276
0,1,0,57.92,6,374.28,374.28,0,0.0,1,57.92,60,884,1,0,0,31030,0,1000.0,1.0
1,0,0,171.57999999999998,3,313.66,313.66,0,0.0,2,171.57999999999998,35,889,2,0,0,31048,0,1000.0,1.0
1,1,0,243.93,24,2164.29,2164.29,0,0.0,2,243.93,71,904,2,0,0,31050,0,1000.0,1.0
1,1,0,50.84,0,0.0,0.0,0,0.0,1,50.84,28,708,1,1,1,31038,0,0.0,0.0
1,1,0,197.42,16,914.35,914.35,10,547.86,2,197.42,53,889,2,0,0,31023,0,1.6689482714562114,1.0
1,0,0,104.32,0,0.0,0.0,19,1012.64,2,104.32,52,889,2,0,0,31050,0,0.0,0.0
1,1,0,189.12,0,0.0,0.0,0,0.0,2,189.12,70,884,2,0,1,31025,0,0.0,0.0
1,1,0,112.16,12,903.9,903.9,0,0.0,2,112.16,70,884,2,0,0,31030,0,1000.0,1.0
1,1,0,171.28,2,169.3,165.14,0,0.0,2,171.28,44,884,2,1,0,31027,0,1000.0,0.9754282339043118
1,1,0,88.77,0,0.0,0.0,0,0.0,1,88.77,48,693,1,1,1,95123,0,0.0,0.0
1,1,0,89.88,12,1688.15,1618.03,5,755.07,1,89.88,66,693,1,1,0,31020,0,2.1428874144119088,0.9584634066877943
0,1,0,221.37,5,597.06,597.06,1,129.79,2,221.37,54,884,2,0,0,31030,0,4.600200323599661,1.0
1,0,0,176.48,0,0.0,0.0,6,597.73,1,176.48,65,693,1,0,0,30020,0,0.0,0.0
0,1,0,143.53,14,9750.02,9750.02,0,0.0,2,143.53,60,889,2,0,0,31020,0,1000.0,1.0
1,1,0,182.01,1,750.75,309.87,2,680.66,1,182.01,44,904,1,0,0,31038,0,0.4552493168395381,0.41274725274725277
1,0,0,89.88,0,0.0,0.0,0,0.0,1,89.88,41,693,1,0,1,31100,0,0.0,0.0
1,1,0,476.89,0,0.0,0.0,6,1145.98,2,476.89,37,884,2,0,0,31030,0,0.0,0.0
0,1,0,104.83000000000001,4,402.11,402.11,1,125.1,2,104.83000000000001,64,904,2,0,0,31100,0,3.2143085531574744,1.0
1,1,0,122.19,0,0.0,0.0,4,511.2,1,122.19,44,884,1,1,0,31027,0,0.0,0.0
0,1,0,173.75,10,1110.11,1110.11,7,337.9,2,173.75,43,889,2,0,0,31020,0,3.285321100917431,1.0
1,1,0,440.23,27,3267.59,3267.59,0,0.0,4,440.23,60,889,4,0,0,31050,0,1000.0,1.0
1,1,0,153.03,0,0.0,0.0,6,426.72,2,153.03,67,884,2,0,0,31030,0,0.0,0.0
1,0,0,339.47,2,342.35,342.35,0,0.0,2,339.47,44,884,2,0,0,31022,0,1000.0,1.0
1,0,0,201.2,15,1476.22,1476.22,0,0.0,3,296.01,35,889,2,0,0,33070,0,1000.0,1.0
1,0,0,94.81,15,1476.22,1476.22,0,0.0,3,296.01,35,707,1,0,0,33070,0,1000.0,1.0
1,1,0,71.86,0,0.0,0.0,3,214.39,1,71.86,57,889,1,1,0,31048,0,0.0,0.0
1,0,0,102.56,2,181.73,181.73,0,0.0,1,102.56,31,904,1,0,0,31038,0,1000.0,1.0
1,1,0,53.46,0,0.0,0.0,9,577.88,1,53.46,51,884,1,1,0,31059,0,0.0,0.0
1,1,0,59.17,4,424.33,424.33,0,0.0,1,59.17,51,889,1,0,0,31100,0,1000.0,1.0
1,1,0,124.88,14,3242.61,3242.61,3,193.42,1,124.88,40,889,1,0,0,31030,0,16.764605521662705,1.0
0,1,0,153.85,8,583.72,583.72,0,0.0,2,153.85,57,884,2,0,0,31032,0,1000.0,1.0
1,0,0,503.61,11,1247.57,1227.5,7,1534.58,2,503.61,52,889,2,0,0,31050,0,0.7998931303679183,0.983912726340005
1,1,0,65.14,0,0.0,0.0,0,0.0,1,65.14,61,884,1,1,1,31027,0,0.0,0.0
1,0,0,131.96,11,1279.29,1279.29,0,0.0,2,131.96,29,884,2,0,0,31100,0,1000.0,1.0
1,1,0,70.53,0,0.0,0.0,0,0.0,1,70.53,74,707,1,0,1,31032,0,0.0,0.0
1,0,0,183.35,3,375.7,375.7,0,0.0,3,183.35,47,1643,3,0,0,31040,0,1000.0,1.0
1,0,0,51.06,1,62.1,62.1,0,0.0,1,51.06,49,707,1,0,0,31059,0,1000.0,1.0
1,0,0,258.63,11,1104.8,1104.8,0,0.0,2,258.63,45,889,2,0,0,31040,0,1000.0,1.0
1,1,0,163.44,2,142.8,142.8,0,0.0,2,163.44,79,889,2,0,0,31040,0,1000.0,1.0
0,1,0,136.54,0,0.0,0.0,0,0.0,1,136.54,55,708,1,0,1,30027,0,0.0,0.0
1,1,0,354.73,1,157.65,57.3,3,400.77,2,354.73,56,884,2,0,0,31040,0,0.14297477356089527,0.3634633682207421
0,0,0,152.63,4,316.19,316.19,0,0.0,2,152.63,43,884,2,0,0,31030,0,1000.0,1.0
1,1,0,105.03,1,137.59,137.59,0,0.0,1,105.03,64,889,1,0,0,31048,0,1000.0,1.0
1,1,0,417.39,5,1047.62,1047.62,0,0.0,2,417.39,48,904,2,0,0,31050,0,1000.0,1.0
1,0,0,141.97,7,386.57,386.57,0,0.0,2,141.97,33,889,2,0,0,31048,0,1000.0,1.0
1,1,0,495.72,0,0.0,0.0,1,279.02,2,495.72,66,884,2,0,0,31030,0,0.0,0.0
1,1,0,134.57,0,0.0,0.0,1,122.94,1,134.57,62,693,1,1,0,31030,0,0.0,0.0
1,1,0,143.51999999999998,19,1100.57,1100.57,1,111.84,2,143.51999999999998,53,884,2,0,0,31029,0,9.840575822603718,1.0
1,1,0,140.33,0,0.0,0.0,1,54.72,1,140.33,45,889,1,0,0,31050,0,0.0,0.0
1,1,0,197.7,0,0.0,0.0,8,761.61,2,197.7,40,884,2,0,0,31040,0,0.0,0.0
1,1,0,106.37,0,0.0,0.0,0,0.0,1,106.37,69,889,1,1,1,31056,0,0.0,0.0
1,1,0,472.37,0,0.0,0.0,0,0.0,2,472.37,84,884,2,0,1,31022,0,0.0,0.0
1,1,0,181.37,2,163.2,163.2,0,0.0,2,181.37,74,884,2,0,0,31052,0,1000.0,1.0
