Telefono,Cessata,PEC,ValoreTitolo,NumeroTitoliAperti,DovutoTitoliAperti,ImportoTitoliAperti,NumeroTitoliSaldati,ImportoTitoliSaldati,NumeroTitoliRecenti,TotaleTitoliRecenti,Vetusta,TitoliCredito,label,NuovoContribuente,Cap,Estero,RapportoImporto,RapportoDovutoAperti
1,0,0,268.99,0,0.0,0.0,1,14.94,2,268.99,1972,2,1,0,32032,0,0.0,0.0
1,0,0,171.84,0,0.0,0.0,3,579.43,1,171.84,646,1,0,0,36061,0,0.0,0.0
1,0,0,161.06,0,0.0,0.0,1,200.77,1,161.06,504,1,1,0,31040,0,0.0,0.0
1,0,0,467.97,9,1763.65,1763.65,0,0.0,2,467.97,833,2,0,0,31059,0,1000.0,1.0
1,0,0,489.69,10,4221.64,3229.18,2,309.84,2,489.69,833,2,0,0,31044,0,10.422088820036148,0.7649112667115149
1,0,0,228.16,0,0.0,0.0,0,0.0,1,228.16,504,1,0,1,31050,0,0.0,0.0
1,0,0,70.03,0,0.0,0.0,0,0.0,1,70.03,721,1,0,1,31030,0,0.0,0.0
1,0,0,2964.95,7,2829.69,2829.69,0,0.0,7,2964.9500000000003,1197,7,0,0,31010,0,1000.0,1.0
0,0,0,644.58,0,0.0,0.0,0,0.0,2,644.58,833,2,0,1,31053,0,0.0,0.0
1,0,1,281.17,0,0.0,0.0,0,0.0,2,281.17,562,2,0,1,31039,0,0.0,0.0
1,0,0,392.40999999999997,11,1918.75,1918.75,0,0.0,2,392.40999999999997,833,2,0,0,30024,0,1000.0,1.0
1,0,0,382.51,0,0.0,0.0,11,3012.81,2,382.51,1555,2,1,0,31030,0,0.0,0.0
0,0,0,765.98,0,0.0,0.0,0,0.0,3,765.98,1197,3,0,1,31010,0,0.0,0.0
1,0,1,161.06,0,0.0,0.0,1,3672.48,1,161.06,504,1,0,0,31030,0,0.0,0.0
1,0,0,321.53,8,2262.72,2262.72,9,1835.16,2,321.53,833,2,1,0,31030,0,1.2329824102530569,1.0
1,0,0,6012.280000000001,0,0.0,0.0,5,4474.31,6,6012.280000000001,833,6,1,0,31056,0,0.0,0.0
1,0,0,1267.4,6,3872.61,2868.47,7,3837.66,2,1267.4,833,2,0,0,31058,0,0.7474528749289931,0.7407071716490945
1,0,0,484.35,3,1467.38,900.74,0,0.0,2,484.35,833,2,0,0,31055,0,1000.0,0.6138423584892801
0,0,0,236.19,1,246.18,246.18,0,0.0,1,236.19,646,1,0,0,31100,0,1000.0,1.0
1,0,0,148.29,3,320.88,320.88,0,0.0,1,148.29,833,1,0,0,31050,0,1000.0,1.0
1,0,0,682.14,2,1039.09,1039.09,0,0.0,1,682.14,1003,1,0,0,35010,0,1000.0,1.0
1,0,0,392.40999999999997,0,0.0,0.0,8,1437.91,2,392.40999999999997,833,2,0,0,31022,0,0.0,0.0
0,1,0,639.97,7,2505.34,2505.34,0,0.0,2,639.97,833,2,0,0,31030,0,1000.0,1.0
1,0,0,161.06,0,0.0,0.0,1,224.31,1,161.06,504,1,0,0,31030,0,0.0,0.0
1,0,0,1146.89,9,2497.96,2497.96,0,0.0,3,1146.89,1003,3,0,0,31011,0,1000.0,1.0
1,0,0,386.33000000000004,10,1631.75,1631.75,0,0.0,3,386.33000000000004,833,3,0,0,30173,0,1000.0,1.0
1,0,0,300.38,3,202.36,202.36,0,0.0,2,300.38,835,2,0,0,31044,0,1000.0,1.0
0,0,0,176.26,0,0.0,0.0,0,0.0,2,176.26,850,2,0,1,31044,0,0.0,0.0
1,0,0,984.5900000000001,0,0.0,0.0,0,0.0,5,984.59,1714,5,0,1,31030,0,0.0,0.0
1,0,0,545.55,6,1873.84,1631.84,0,0.0,2,545.55,833,2,0,0,31034,0,1000.0,0.8708534346582419
1,0,1,9582.72,4,2409.31,2409.31,0,0.0,6,9582.720000000001,2351,6,0,0,31033,0,1000.0,1.0
1,0,0,1005.9000000000001,8,3009.82,3009.82,0,0.0,2,1005.9000000000001,833,2,0,0,31030,0,1000.0,1.0
1,0,0,1409.92,4,2766.03,2576.21,0,0.0,2,1409.92,833,2,0,0,30016,0,1000.0,0.9313745693286045
1,0,0,259.24,0,0.0,0.0,1,155.23,1,259.24,646,1,1,0,31030,0,0.0,0.0
1,0,1,453.98,11,2802.41,2802.41,9,627.16,1,453.98,646,1,0,0,31034,0,4.468413164104853,1.0
