Telefono,CittadinanzaItaliana,Deceduto,ValoreTitolo,NumeroTitoliAperti,DovutoTitoliAperti,ImportoTitoliAperti,NumeroTitoliSaldati,ImportoTitoliSaldati,NumeroTitoliRecenti,TotaleTitoliRecenti,Eta,Vetusta,TitoliCredito,label,NuovoContribuente,Cap,Estero,RapportoImporto,RapportoDovutoAperti
1,1,0,88.41,0,0.0,0.0,0,0.0,1,88.41,53,498,1,1,1,31031,0,0.0,0.0
1,0,0,410.89,12,741.61,741.61,2,232.03,4,410.89,54,1218,4,0,0,31048,0,3.196181528250657,1.0
0,0,0,269.31,0,0.0,0.0,0,0.0,3,269.31,48,1046,3,0,1,31042,0,0.0,0.0
1,1,0,403.62000000000006,0,0.0,0.0,2,149.15,6,403.62,67,1228,6,0,0,31030,0,0.0,0.0
1,1,0,452.86999999999995,1,88.51,88.51,0,0.0,5,452.87,48,1228,5,0,0,31056,0,1000.0,1.0
1,1,0,453.97,15,1157.59,1157.59,0,0.0,5,453.97,64,1218,5,0,0,31059,0,1000.0,1.0
1,0,0,287.35,7,1112.7,1112.7,0,0.0,2,287.35,48,850,2,0,0,31059,0,1000.0,1.0
0,1,0,175.41,0,0.0,0.0,3,249.48,2,175.41,39,1039,2,1,0,31033,0,0.0,0.0
1,1,0,52.58,12,735.88,735.88,0,0.0,1,52.58,58,1996,1,0,0,31100,0,1000.0,1.0
1,1,0,108.82,0,0.0,0.0,1,537.0,2,108.82,42,850,2,0,0,31038,0,0.0,0.0
1,0,0,39.2,5,1093.92,1093.92,0,0.0,1,39.2,35,1046,1,0,0,44121,0,1000.0,1.0
1,1,0,312.94,0,0.0,0.0,4,444.11,3,312.94,44,1081,3,1,0,31038,0,0.0,0.0
1,1,0,120.66,0,0.0,0.0,0,0.0,1,120.66,39,1008,1,0,1,31037,0,0.0,0.0
1,0,0,121.91000000000001,2,145.12,145.12,0,0.0,6,334.89000000000004,49,1913,3,0,0,31010,0,1000.0,1.0
1,1,0,74.41,1,73.32,73.32,0,0.0,1,74.41,63,843,1,0,0,31011,0,1000.0,1.0
1,1,0,95.72,0,0.0,0.0,0,0.0,1,95.72,40,863,1,1,1,31030,0,0.0,0.0
1,1,0,331.88,11,793.98,793.98,8,614.01,5,331.88,57,1218,5,1,0,31027,0,1.293105975472712,1.0
0,0,0,51.63,0,0.0,0.0,0,0.0,2,156.38,56,1777,1,0,1,31044,0,0.0,0.0
1,1,0,484.71,2,240.11,240.11,0,0.0,4,484.71000000000004,61,1046,4,0,0,31040,0,1000.0,1.0
1,0,0,463.7900000000001,3,310.21,310.21,0,0.0,4,463.78999999999996,39,1070,4,0,0,31030,0,1000.0,1.0
1,1,0,801.03,8,1268.98,1237.29,15,1658.07,4,801.03,55,1078,4,0,0,31020,0,0.7462230183285387,0.9750271871897114
1,1,0,166.65,5,262.93,262.93,11,663.58,3,166.65,49,1070,3,0,0,31027,0,0.3962295427830857,1.0
1,0,0,345.91,3,258.52,258.52,0,0.0,4,345.91,46,1039,4,0,0,0,1,1000.0,1.0
1,1,0,202.67,0,0.0,0.0,0,0.0,3,202.67000000000002,45,1070,3,0,1,31021,0,0.0,0.0
1,1,0,2908.09,1,51.3,51.3,1,51.3,1,2908.09,63,2113,1,0,0,31030,0,1.0,1.0
1,1,0,134.72,0,0.0,0.0,0,0.0,1,134.72,72,1228,1,0,1,31050,0,0.0,0.0
0,1,0,972.64,15,4847.81,4847.81,2,109.29,16,972.64,62,1046,16,0,0,31011,0,44.35730624942813,1.0
1,0,0,202.97000000000003,0,0.0,0.0,0,0.0,2,202.97000000000003,38,1046,2,1,1,31030,0,0.0,0.0
1,1,0,144.01,7,555.73,555.73,0,0.0,2,144.01,63,835,2,0,0,31017,0,1000.0,1.0
1,1,0,197.67000000000002,0,0.0,0.0,0,0.0,2,197.67000000000002,42,675,2,1,1,31032,0,0.0,0.0
1,1,0,143.12,2,126.45,126.45,2,114.08,2,143.12,64,1218,2,0,0,31059,0,1.1084326788218795,1.0
1,1,0,104.07,2,100.47,100.47,0,0.0,2,104.07,43,835,2,1,0,31044,0,1000.0,1.0
1,0,0,595.5,7,445.48,445.48,0,0.0,4,595.5,36,1039,4,0,0,0,1,1000.0,1.0
1,1,0,68.26,3,218.28,218.28,3,318.39,1,68.26,45,653,1,0,0,31036,0,0.6855742956751154,1.0
0,0,0,107.78999999999999,0,0.0,0.0,0,0.0,2,107.78999999999999,40,1046,2,0,1,0,1,0.0,0.0
1,0,0,723.0500000000001,4,1219.58,1219.58,2,1230.64,6,753.48,36,1039,5,0,0,31020,0,0.991012806344666,1.0
1,1,0,523.87,0,0.0,0.0,1,101.9,3,523.87,33,1081,3,0,0,31050,0,0.0,0.0
1,1,0,435.09,5,249.93,249.93,0,0.0,11,684.97,36,1450,6,0,0,31030,0,1000.0,1.0
1,1,0,226.01,0,0.0,0.0,1,144.75,2,226.01,39,692,2,0,0,31033,0,0.0,0.0
1,0,0,355.53,14,1957.33,1788.23,3,198.16,4,355.53,49,1081,4,0,0,31030,0,9.024172385950747,0.9136068011015006
0,1,0,41.6,2,99.43,99.43,4,209.3,1,41.6,39,503,1,0,0,31055,0,0.47505972288580983,1.0
1,1,0,289.6,2,455.39,455.39,0,0.0,2,289.6,33,830,2,1,0,31030,0,1000.0,1.0
1,0,0,131.95,9,2785.96,2785.96,0,0.0,10,887.07,40,843,3,0,0,31039,0,1000.0,1.0
0,0,0,254.49,8,1422.23,1422.23,0,0.0,2,254.49,61,835,2,0,0,31044,0,1000.0,1.0
1,1,0,477.66999999999996,2,212.47,212.47,0,0.0,4,477.67,50,1081,4,0,0,31058,0,1000.0,1.0
1,1,0,178.1,0,0.0,0.0,10,842.62,2,178.1,47,830,2,0,0,31036,0,0.0,0.0
1,1,0,170.93,2,263.12,241.15,4,455.27,1,170.93,60,653,1,0,0,31035,0,0.529685681024447,0.916501976284585
0,0,0,164.06,2,425.67,425.67,0,0.0,1,164.06,33,1039,1,0,0,31044,0,1000.0,1.0
0,0,0,358.72999999999996,3,209.1,209.1,0,0.0,4,358.73,29,1039,4,0,0,36072,0,1000.0,1.0
