Telefono,Cessata,PEC,ValoreTitolo,NumeroTitoliAperti,DovutoTitoliAperti,ImportoTitoliAperti,NumeroTitoliSaldati,ImportoTitoliSaldati,NumeroTitoliRecenti,TotaleTitoliRecenti,Vetusta,TitoliCredito,label,NuovoContribuente,Cap,Estero,RapportoImporto,RapportoDovutoAperti
1,0,0,78.23,7,721.5,721.5,0,0.0,1,78.23,980,1,0,0,31044,0,1000.0,1.0
1,0,0,184.34,0,0.0,0.0,1,227.61,1,184.34,441,1,1,0,31023,0,0.0,0.0
1,0,0,161.25,3,1377.69,1377.69,0,0.0,1,161.25,1410,1,0,0,31036,0,1000.0,1.0
1,0,0,867.03,0,0.0,0.0,0,0.0,2,867.03,833,2,0,1,31020,0,0.0,0.0
1,0,0,289.89,2,235.26,235.26,0,0.0,2,289.89,1152,2,0,0,31040,0,1000.0,1.0
0,0,0,277.05,0,0.0,0.0,0,0.0,3,542.4300000000001,524,1,0,1,36056,0,0.0,0.0
0,0,0,41.93,0,0.0,0.0,0,0.0,3,542.43,524,1,0,1,36056,0,0.0,0.0
0,0,0,223.45,0,0.0,0.0,0,0.0,3,542.4300000000001,524,1,0,1,36056,0,0.0,0.0
1,0,0,14.94,0,0.0,0.0,0,0.0,1,14.94,1015,1,0,1,32032,0,0.0,0.0
1,0,0,346.97,0,0.0,0.0,1,232.46,2,346.97,635,2,0,0,36061,0,0.0,0.0
1,0,0,466.31,0,0.0,0.0,0,0.0,1,466.31,646,1,1,1,31038,0,0.0,0.0
1,0,0,200.77,0,0.0,0.0,0,0.0,1,200.77,844,1,1,1,31040,0,0.0,0.0
1,0,1,231.09,0,0.0,0.0,0,0.0,2,231.09,729,2,0,1,31059,0,0.0,0.0
1,0,0,244.43,1,271.18,271.18,0,0.0,1,244.43,441,1,0,0,31027,0,1000.0,1.0
0,0,0,1440.79,0,0.0,0.0,0,0.0,2,1440.79,1377,2,0,1,31030,0,0.0,0.0
0,0,0,241.95,0,0.0,0.0,0,0.0,2,766.47,889,1,0,1,31057,0,0.0,0.0
0,0,0,524.52,0,0.0,0.0,0,0.0,2,766.47,635,1,0,1,31057,0,0.0,0.0
1,0,0,173.03,2,261.78,261.78,0,0.0,1,173.03,1588,1,0,0,31044,0,1000.0,1.0
1,0,0,168.46,0,0.0,0.0,0,0.0,1,168.46,635,1,1,1,31038,0,0.0,0.0
1,0,1,107.73,0,0.0,0.0,2,912.0,1,107.73,562,1,0,0,31100,0,0.0,0.0
1,0,0,470.68,0,0.0,0.0,0,0.0,2,470.68,1003,2,0,1,31040,0,0.0,0.0
1,0,0,498.96000000000004,3,293.15,293.15,0,0.0,3,498.96000000000004,815,3,0,0,31055,0,1000.0,1.0
1,0,0,298.67,0,0.0,0.0,0,0.0,1,298.67,646,1,1,1,31040,0,0.0,0.0
0,0,0,2840.31,0,0.0,0.0,0,0.0,3,2840.3100000000004,1003,3,0,1,31033,0,0.0,0.0
1,0,0,250.56,0,0.0,0.0,0,0.0,2,250.56,1218,2,1,1,31022,0,0.0,0.0
1,0,0,297.4,0,0.0,0.0,0,0.0,1,297.4,635,1,1,1,31050,0,0.0,0.0
1,0,0,475.16,2,195.88,195.88,0,0.0,4,475.16,993,4,0,0,31033,0,1000.0,1.0
1,0,0,274.65999999999997,6,671.04,671.04,0,0.0,2,274.65999999999997,833,2,0,0,31033,0,1000.0,1.0
1,0,0,727.72,0,0.0,0.0,0,0.0,4,727.72,1377,4,0,1,31022,0,0.0,0.0
1,0,0,2036.95,1,609.73,609.73,0,0.0,4,2036.95,993,4,0,0,31035,0,1000.0,1.0
1,0,0,918.99,5,2646.68,2597.29,0,0.0,2,918.99,833,2,0,0,31035,0,1000.0,0.9813388849426452
0,0,1,3790.35,0,0.0,0.0,0,0.0,6,3790.35,1410,6,0,1,31020,0,0.0,0.0
1,0,0,2176.16,0,0.0,0.0,0,0.0,1,2176.16,646,1,1,1,31050,0,0.0,0.0
0,0,0,525.23,0,0.0,0.0,0,0.0,2,525.23,1223,2,0,1,30173,0,0.0,0.0
0,0,1,1264.06,5,2839.01,2839.01,2,93.0,3,1264.06,815,3,0,0,31050,0,30.526989247311832,1.0
0,0,1,267.64,10,3934.77,3934.77,5,1357.06,1,267.64,833,1,0,0,31050,0,2.8994812314857117,1.0
1,0,0,253.63,0,0.0,0.0,0,0.0,1,253.63,441,1,0,1,31054,0,0.0,0.0
1,0,0,1279.34,8,3252.14,3252.14,0,0.0,4,1279.3400000000001,980,4,0,0,31044,0,1000.0,1.0
1,0,0,722.9,0,0.0,0.0,0,0.0,4,722.9000000000001,833,4,1,1,31035,0,0.0,0.0
1,0,0,179.49,0,0.0,0.0,0,0.0,1,179.49,534,1,0,1,31050,0,0.0,0.0
0,0,0,233.16,0,0.0,0.0,0,0.0,1,233.16,1800,1,0,1,36051,0,0.0,0.0
1,0,0,2416.3599999999997,0,0.0,0.0,1,1875.72,2,2416.3599999999997,815,2,0,0,31023,0,0.0,0.0
1,0,0,2259.2200000000003,0,0.0,0.0,3,4292.08,2,2259.2200000000003,833,2,1,0,31023,0,0.0,0.0
1,0,0,634.52,0,0.0,0.0,0,0.0,3,634.52,1152,3,1,1,31059,0,0.0,0.0
1,0,0,597.26,1,169.2,142.95,2,465.32,2,597.26,833,2,0,0,31059,0,0.30720794292100057,0.8448581560283688
1,0,0,329.98,0,0.0,0.0,2,288.86,2,329.98,1015,2,0,0,31022,0,0.0,0.0
1,0,0,387.13,2,329.98,329.98,2,288.86,2,387.13,833,2,0,0,31022,0,1.1423526968081423,1.0
1,0,0,1228.1,4,1601.59,1601.59,0,0.0,3,1228.1,993,3,0,0,31010,0,1000.0,1.0
1,0,0,23.28,0,0.0,0.0,0,0.0,1,23.28,903,1,1,1,31023,0,0.0,0.0
1,0,0,178.24,0,0.0,0.0,1,23.28,1,178.24,814,1,1,0,31023,0,0.0,0.0
1,0,1,413.1,0,0.0,0.0,2,221.36,3,413.1,815,3,1,0,31010,0,0.0,0.0
1,0,1,372.75,0,0.0,0.0,5,634.46,2,372.75,833,2,0,0,31010,0,0.0,0.0
1,0,1,486.02,0,0.0,0.0,0,0.0,1,486.02,441,1,0,1,31022,0,0.0,0.0
1,0,1,234.81,0,0.0,0.0,1,486.02,1,234.81,646,1,0,0,31022,0,0.0,0.0
1,0,0,1255.1599999999999,13,3178.43,3178.43,0,0.0,5,1255.16,1152,5,0,0,31028,0,1000.0,1.0
1,1,0,464.52,18,4433.59,4433.59,0,0.0,2,464.52,833,2,0,0,31028,0,1000.0,1.0
0,0,0,189.2,0,0.0,0.0,0,0.0,1,189.2,920,1,0,1,31046,0,0.0,0.0
1,0,0,108.01,0,0.0,0.0,0,0.0,1,108.01,972,1,1,1,31044,0,0.0,0.0
1,0,0,772.02,0,0.0,0.0,0,0.0,1,772.02,646,1,1,1,31057,0,0.0,0.0
1,0,0,1486.5000000000002,3,432.25,432.25,0,0.0,8,1486.5,1728,8,0,0,30024,0,1000.0,1.0
1,0,0,887.1500000000001,6,2688.82,2213.56,1,46.0,4,887.1500000000001,980,4,0,0,31044,0,48.12086956521739,0.8232458848119248
1,0,0,283.52,0,0.0,0.0,11,3621.97,1,283.52,833,1,1,0,31044,0,0.0,0.0
0,0,0,198.07,1,516.0,516.0,0,0.0,2,198.07,1223,2,0,0,31100,0,1000.0,1.0
1,0,0,2863.42,11,4931.64,4931.64,1,73.0,4,2863.42,1736,4,0,0,31033,0,67.55671232876713,1.0
1,0,0,2443.7200000000003,0,0.0,0.0,0,0.0,4,2443.7200000000003,993,4,0,1,35014,0,0.0,0.0
1,0,0,136.78,0,0.0,0.0,0,0.0,1,136.78,635,1,1,1,36020,0,0.0,0.0
1,0,0,709.6999999999999,0,0.0,0.0,0,0.0,5,709.7,815,5,1,1,31100,0,0.0,0.0
1,0,1,3672.48,0,0.0,0.0,0,0.0,1,3672.48,524,1,1,1,31030,0,0.0,0.0
0,0,0,45.9,0,0.0,0.0,0,0.0,1,45.9,524,1,0,1,30010,0,0.0,0.0
1,0,1,658.9899999999999,0,0.0,0.0,0,0.0,4,658.99,660,4,0,1,31030,0,0.0,0.0
1,0,0,435.37,6,1780.36,1780.36,6,1399.79,3,435.37,993,3,0,0,31030,0,1.2718764957600783,1.0
1,0,0,274.23,5,9010.35,8630.24,4,2952.23,1,274.23,635,1,0,0,31058,0,2.92329527170986,0.9578140693757734
1,0,0,4474.3099999999995,0,0.0,0.0,0,0.0,5,4474.31,635,5,0,1,31056,0,0.0,0.0
1,0,0,867.94,0,0.0,0.0,0,0.0,1,867.94,833,1,1,1,31022,0,0.0,0.0
1,0,0,342.35,0,0.0,0.0,3,549.99,2,342.35,1152,2,1,0,31050,0,0.0,0.0
1,0,0,2662.12,3,1813.88,1440.86,6,3234.27,4,2662.12,1152,4,0,0,31058,0,0.44549774755972754,0.7943524378679956
1,0,0,389.57,0,0.0,0.0,0,0.0,3,1467.3799999999999,441,1,1,1,31055,0,0.0,0.0
1,0,0,1077.81,0,0.0,0.0,0,0.0,3,1467.38,1152,2,1,1,31055,0,0.0,0.0
1,0,0,101.92,0,0.0,0.0,0,0.0,1,101.92,815,1,0,1,31023,0,0.0,0.0
1,1,0,740.37,1,101.92,101.92,0,0.0,4,740.37,1197,4,0,0,31023,0,1000.0,1.0
0,0,0,60.32,0,0.0,0.0,4,1381.97,1,60.32,889,1,0,0,31041,0,0.0,0.0
1,0,0,120.89,0,0.0,0.0,0,0.0,2,120.89,721,2,1,1,36027,0,0.0,0.0
0,0,0,1126.03,1,1322.28,1322.28,0,0.0,1,1126.03,993,1,0,0,31030,0,1000.0,1.0
0,0,0,188.24,0,0.0,0.0,0,0.0,2,188.24,2040,2,0,1,31027,0,0.0,0.0
1,0,0,345.79,0,0.0,0.0,0,0.0,2,345.79,455,2,0,1,31033,0,0.0,0.0
1,0,0,174.72,0,0.0,0.0,2,345.79,1,174.72,833,1,1,0,31033,0,0.0,0.0
1,0,0,3200.75,1,762.65,657.5,1,1031.36,4,3200.75,993,4,0,0,31033,0,0.6375077567483711,0.8621254835114404
1,0,0,1161.89,4,3200.75,2749.88,2,1794.01,2,1161.89,833,2,0,0,31033,0,1.5328119687181232,0.8591361399671952
1,0,0,118.15,2,202.73,202.73,0,0.0,1,118.15,993,1,0,0,31050,0,1000.0,1.0
1,0,0,779.09,1,260.0,260.0,0,0.0,1,779.09,635,1,0,0,35010,0,1000.0,1.0
0,0,0,114.46,0,0.0,0.0,0,0.0,1,114.46,1577,1,0,1,31100,0,0.0,0.0
1,0,0,949.44,0,0.0,0.0,3,488.47,5,949.44,1152,5,0,0,31022,0,0.0,0.0
0,0,0,1351.8500000000001,3,1153.49,1153.49,0,0.0,4,1351.85,1152,4,0,0,31030,0,1000.0,1.0
1,0,0,224.31,0,0.0,0.0,0,0.0,1,224.31,698,1,0,1,31030,0,0.0,0.0
1,0,0,1837.2399999999998,3,507.54,507.54,0,0.0,5,1837.2400000000002,1410,5,0,0,31011,0,1000.0,1.0
0,0,0,3774.13,0,0.0,0.0,0,0.0,7,3774.13,1679,7,0,1,31040,0,0.0,0.0
0,0,0,1143.98,7,3774.13,3774.13,0,0.0,3,1143.98,2447,3,0,0,31040,0,1000.0,1.0
1,0,0,463.52,4,537.54,537.54,0,0.0,6,1094.21,980,4,0,0,30173,0,1000.0,1.0
1,0,0,630.69,4,537.54,537.54,0,0.0,6,1094.21,889,2,0,0,30173,0,1000.0,1.0
1,0,0,673.53,0,0.0,0.0,0,0.0,1,673.53,441,1,1,1,31050,0,0.0,0.0
1,0,0,1321.28,0,0.0,0.0,1,673.53,2,1321.28,833,2,1,0,31050,0,0.0,0.0
1,0,0,328.78,0,0.0,0.0,2,682.69,1,328.78,980,1,0,0,31044,0,0.0,0.0
1,0,1,1599.46,0,0.0,0.0,0,0.0,2,1599.46,646,2,1,1,31034,0,0.0,0.0
1,0,0,1079.79,0,0.0,0.0,0,0.0,1,1079.79,441,1,1,1,31020,0,0.0,0.0
1,0,0,1286.65,2,587.19,587.19,0,0.0,4,1286.65,993,4,0,0,31034,0,1000.0,1.0
1,0,0,109.38,0,0.0,0.0,0,0.0,1,109.38,635,1,1,1,31040,0,0.0,0.0
1,0,0,516.86,0,0.0,0.0,0,0.0,2,516.86,1015,2,1,1,31052,0,0.0,0.0
1,0,0,206.57,0,0.0,0.0,2,516.86,1,206.57,646,1,0,0,31052,0,0.0,0.0
0,0,0,809.1600000000001,0,0.0,0.0,2,459.68,3,809.1600000000001,1015,3,0,0,35010,0,0.0,0.0
1,0,0,447.61,0,0.0,0.0,0,0.0,2,447.61,833,2,1,1,31053,0,0.0,0.0
1,0,0,643.39,0,0.0,0.0,0,0.0,1,643.39,441,1,1,1,31038,0,0.0,0.0
1,0,1,2409.31,0,0.0,0.0,0,0.0,4,2409.31,980,4,0,1,31033,0,0.0,0.0
0,0,0,237.49999999999997,3,155.24,155.24,0,0.0,4,237.5,1046,4,0,0,31020,0,1000.0,1.0
1,0,0,2369.1000000000004,2,276.36,276.36,0,0.0,4,2369.1,993,4,0,0,31030,0,1000.0,1.0
1,0,0,450.49,0,0.0,0.0,0,0.0,1,450.49,441,1,1,1,30016,0,0.0,0.0
1,0,0,474.4,0,0.0,0.0,3,1881.92,1,474.4,1076,1,1,0,31056,0,0.0,0.0
1,0,0,155.23,0,0.0,0.0,0,0.0,1,155.23,635,1,1,1,31030,0,0.0,0.0
1,0,0,634.46,0,0.0,0.0,0,0.0,1,634.46,1003,1,0,1,31039,0,0.0,0.0
1,0,0,321.16999999999996,0,0.0,0.0,0,0.0,2,321.16999999999996,635,2,0,1,31050,0,0.0,0.0
0,0,0,143.72,8,13071.87,13071.87,1,39.35,3,143.72,1070,3,0,0,31050,0,332.19491740787805,1.0
0,0,0,156.53,11,13215.59,13215.59,1,39.35,3,156.53,1071,3,0,0,31050,0,335.8472681067344,1.0
1,0,0,456.08000000000004,0,0.0,0.0,0,0.0,3,456.08000000000004,1152,3,0,1,31027,0,0.0,0.0
1,0,0,465.0,3,456.08,456.08,0,0.0,2,465.0,1003,2,0,0,31027,0,1000.0,1.0
1,0,0,533.04,2,222.7,222.7,0,0.0,4,533.04,993,4,0,0,31040,0,1000.0,1.0
1,0,0,829.64,0,0.0,0.0,1,39.0,1,829.64,1015,1,0,0,31100,0,0.0,0.0
1,0,0,939.9399999999999,0,0.0,0.0,0,0.0,3,939.94,1015,3,0,1,30037,0,0.0,0.0
1,0,0,233.34,0,0.0,0.0,0,0.0,4,233.34,1039,4,0,1,36055,0,0.0,0.0
1,0,0,591.1800000000001,4,499.74,499.74,0,0.0,3,591.1800000000001,993,3,0,0,62029,0,1000.0,1.0
1,0,0,900.58,0,0.0,0.0,0,0.0,2,900.58,833,2,1,1,31056,0,0.0,0.0
1,0,0,343.61,0,0.0,0.0,0,0.0,1,343.61,646,1,1,1,31059,0,0.0,0.0
1,0,0,2708.1,0,0.0,0.0,0,0.0,4,2708.1,1015,4,0,1,31020,0,0.0,0.0
1,0,0,38.24,4,2708.1,2708.1,0,0.0,1,38.24,833,1,0,0,31020,0,1000.0,1.0
0,1,1,251.81,0,0.0,0.0,0,0.0,1,251.81,441,1,0,1,31044,0,0.0,0.0
1,0,0,974.3199999999999,0,0.0,0.0,0,0.0,5,974.32,1152,5,0,1,31100,0,0.0,0.0
1,0,0,1897.25,0,0.0,0.0,0,0.0,1,1897.25,1036,1,1,1,31050,0,0.0,0.0
1,0,0,755.86,0,0.0,0.0,14,1747.73,5,755.86,1152,5,1,0,31057,0,0.0,0.0
1,0,0,320.09000000000003,0,0.0,0.0,19,2503.59,2,320.09000000000003,833,2,1,0,31057,0,0.0,0.0
1,0,0,1945.5300000000004,2,1146.5,1146.5,0,0.0,6,1945.5300000000002,1003,6,0,0,31059,0,1000.0,1.0
1,0,0,56.86,0,0.0,0.0,0,0.0,1,56.86,490,1,1,1,31020,0,0.0,0.0
1,0,0,312.82,0,0.0,0.0,0,0.0,1,312.82,635,1,0,1,31020,0,0.0,0.0
1,0,0,173.15,0,0.0,0.0,0,0.0,1,173.15,1015,1,0,1,31100,0,0.0,0.0
1,0,0,416.01,0,0.0,0.0,1,173.15,2,416.01,833,2,0,0,31100,0,0.0,0.0
1,0,0,106.08,0,0.0,0.0,0,0.0,1,106.08,812,1,0,1,31056,0,0.0,0.0
1,0,0,139.7,0,0.0,0.0,4,657.33,2,139.7,486,2,0,0,31035,0,0.0,0.0
1,0,0,1445.1200000000001,0,0.0,0.0,0,0.0,4,1445.1200000000001,1593,4,0,1,33081,0,0.0,0.0
1,0,0,1739.54,0,0.0,0.0,1,71.18,2,1739.54,635,2,0,0,31011,0,0.0,0.0
1,0,0,2119.05,12,5083.28,5083.28,0,0.0,5,2119.05,1152,5,0,0,31050,0,1000.0,1.0
1,0,0,893.31,17,7202.33,7202.33,0,0.0,2,893.31,833,2,0,0,31050,0,1000.0,1.0
1,0,0,140.99,0,0.0,0.0,0,0.0,1,140.99,635,1,1,1,35018,0,0.0,0.0
1,0,0,128.85,0,0.0,0.0,1,140.99,1,128.85,646,1,1,0,35018,0,0.0,0.0
1,0,0,115.03999999999999,0,0.0,0.0,0,0.0,2,115.03999999999999,833,2,0,1,30020,0,0.0,0.0
1,0,0,1115.04,0,0.0,0.0,0,0.0,5,1115.04,833,5,0,1,33038,0,0.0,0.0
1,0,0,444.34,12,3375.01,3375.01,1,35.03,1,444.34,441,1,0,0,0,1,96.34627462175278,1.0
1,0,0,272.13,13,3819.35,3819.35,1,35.03,3,272.13,843,3,0,0,0,1,109.03083071652868,1.0
1,0,0,3042.5200000000004,1,12.26,12.26,0,0.0,10,3042.5200000000004,735,10,0,0,36022,0,1000.0,1.0
1,0,0,945.8199999999999,0,0.0,0.0,0,0.0,5,945.82,490,5,0,1,31044,0,0.0,0.0
1,0,0,58.07,0,0.0,0.0,0,0.0,1,58.07,524,1,1,1,31100,0,0.0,0.0
1,0,0,601.56,0,0.0,0.0,0,0.0,2,601.56,1003,2,1,1,31057,0,0.0,0.0
0,0,0,1504.38,0,0.0,0.0,0,0.0,8,1504.38,1728,8,0,1,30030,0,0.0,0.0
0,0,0,392.40999999999997,8,1504.38,1504.38,0,0.0,2,392.40999999999997,833,2,0,0,30030,0,1000.0,1.0
1,0,0,4580.75,4,4289.72,4289.72,0,0.0,4,4580.75,980,4,0,0,31039,0,1000.0,1.0
1,0,0,1707.04,8,8870.47,8870.47,0,0.0,2,1707.04,833,2,0,0,31039,0,1000.0,1.0
0,0,0,63.49,0,0.0,0.0,0,0.0,1,63.49,668,1,1,1,31040,0,0.0,0.0
0,0,0,82.51,2,139.83,139.83,0,0.0,1,82.51,920,1,0,0,35030,0,1000.0,1.0
0,0,0,346.08,2,586.99,586.99,2,556.0,1,346.08,993,1,0,0,31033,0,1.0557374100719426,1.0
1,0,0,69.7,0,0.0,0.0,19,14190.63,1,69.7,1152,1,1,0,31027,0,0.0,0.0
1,0,0,123.03,1,116.47,116.47,0,0.0,1,123.03,1152,1,0,0,31032,0,1000.0,1.0
1,0,0,3974.5200000000004,6,10825.27,10112.9,4,7055.89,3,3974.5200000000004,993,3,0,0,31050,0,1.4332564708350044,0.9341937891618407
1,0,1,21.56,0,0.0,0.0,0,0.0,1,21.56,524,1,0,1,30028,0,0.0,0.0
1,0,1,119.68,1,21.56,21.56,0,0.0,1,119.68,812,1,0,0,30028,0,1000.0,1.0
1,0,0,1444.34,5,1229.76,1094.53,2,192.3,6,1444.3400000000001,1410,6,0,0,31037,0,5.691783671346854,0.8900354540723393
1,1,0,264.49,11,2674.1,2538.87,2,192.3,2,264.49,833,2,0,0,31037,0,13.202652106084242,0.9494297146703564
1,0,0,616.3299999999999,2,1737.05,1012.0,1,655.04,3,616.33,993,3,0,0,31038,0,1.5449438202247192,0.5825969315794018
1,0,0,1184.4299999999998,0,0.0,0.0,0,0.0,9,1184.43,737,9,0,1,31050,0,0.0,0.0
1,0,0,156.13,0,0.0,0.0,0,0.0,1,156.13,646,1,1,1,42124,0,0.0,0.0
0,0,0,1036.77,3,477.54,477.54,1,52.88,3,1036.77,815,3,1,0,31030,0,9.030635400907716,1.0
1,0,0,1288.62,0,0.0,0.0,0,0.0,4,1288.62,815,4,0,1,31044,0,0.0,0.0
1,0,0,1433.3400000000001,4,1288.62,1288.62,0,0.0,7,1433.3400000000001,833,7,0,0,31044,0,1000.0,1.0
1,0,0,849.5899999999999,3,451.68,451.68,0,0.0,5,849.59,1152,5,0,0,31040,0,1000.0,1.0
1,0,0,357.31,8,1301.27,1301.27,0,0.0,2,357.31,833,2,0,0,31040,0,1000.0,1.0
1,0,0,11191.27,0,0.0,0.0,0,0.0,5,11191.27,1152,5,1,1,31048,0,0.0,0.0
0,0,0,1135.92,3,661.49,661.49,0,0.0,5,1135.92,1152,5,0,0,31030,0,1000.0,1.0
1,0,1,1598.03,2,598.36,598.36,1,458.0,5,1598.03,1152,5,0,0,31100,0,1.30646288209607,1.0
1,0,1,732.29,3,896.54,896.54,6,2056.03,2,732.29,833,2,0,0,31100,0,0.4360539486291542,1.0
1,0,0,622.99,2,1024.36,1024.36,7,967.67,4,622.99,1152,4,0,0,31030,0,1.0585840214122582,1.0
1,0,0,171.44,3,1522.54,1522.54,11,1590.66,1,171.44,646,1,0,0,31030,0,0.9571750091157128,1.0
1,0,0,3578.09,0,0.0,0.0,0,0.0,1,3578.09,993,1,1,1,31030,0,0.0,0.0
1,0,1,2401.68,0,0.0,0.0,1,1079.48,3,2401.68,1015,3,0,0,31030,0,0.0,0.0
1,0,1,291.34,3,2401.68,2076.43,1,1079.48,1,291.34,833,1,0,0,31030,0,1.9235465223996737,0.8645739648912428
0,0,0,380.79,0,0.0,0.0,0,0.0,1,380.79,441,1,0,1,31010,0,0.0,0.0
0,0,0,571.99,1,380.79,380.79,0,0.0,2,571.99,833,2,0,0,31010,0,1000.0,1.0
1,0,1,1349.5,3,835.38,835.38,11,1798.89,4,1349.5,993,4,0,0,31033,0,0.4643863715958174,1.0
1,0,1,580.1500000000001,3,487.54,487.54,17,3820.59,2,580.1500000000001,833,2,0,0,31033,0,0.12760856307533652,1.0
1,0,0,1911.74,4,2194.1,2194.1,0,0.0,2,1911.74,1593,2,0,0,31025,0,1000.0,1.0
1,0,0,388.34,0,0.0,0.0,0,0.0,2,388.34,815,2,0,1,35010,0,0.0,0.0
0,0,0,870.71,0,0.0,0.0,0,0.0,3,870.71,815,3,0,1,31033,0,0.0,0.0
0,0,0,297.37,3,870.71,870.71,0,0.0,1,297.37,833,1,0,0,31033,0,1000.0,1.0
1,0,0,53.11,0,0.0,0.0,0,0.0,1,53.11,1260,1,0,1,31030,0,0.0,0.0
1,0,1,1663.2,14,2189.46,2189.46,0,0.0,5,1663.2,1152,5,0,0,31100,0,1000.0,1.0
1,0,0,343.41,4,550.69,550.69,1,156.68,2,343.41,1152,2,1,0,31027,0,3.5147434260913966,1.0
1,0,0,303.99,0,0.0,0.0,0,0.0,1,303.99,815,1,0,1,31040,0,0.0,0.0
1,0,0,1084.5800000000002,0,0.0,0.0,0,0.0,6,1084.58,815,6,0,1,31040,0,0.0,0.0
1,0,0,618.78,0,0.0,0.0,6,1084.58,3,618.78,1052,3,1,0,31040,0,0.0,0.0
1,0,0,600.21,7,1465.21,1465.21,0,0.0,4,600.21,1152,4,0,0,31048,0,1000.0,1.0
1,0,0,318.81,11,2065.42,2065.42,0,0.0,2,318.81,833,2,0,0,31048,0,1000.0,1.0
1,0,1,4821.08,2,3160.03,3160.03,0,0.0,4,4821.08,993,4,0,0,31033,0,1000.0,1.0
1,0,0,203.65,0,0.0,0.0,0,0.0,2,203.65,257,2,1,1,31044,0,0.0,0.0
